,name,rating,rating_count,industry,reviews,salaries,interviews,jobs,benefits,photos
1731,Pyramid IT Consulting,3.1,(614),Recruitment | Noida +25 other locations,614,2.8k,27,2,44,--
1732,Monte Carlo,4.2,(613),Fashion & Textile | Ahmedabad +103 other locations,613,2.4k,34,1,44,3
1733,Chaitanya India Fin Credit,4.0,(614),NBFC | Bengaluru +174 other locations,614,1.5k,35,--,26,4
1734,Emids Technologies Limited,3.6,(613),IT Services & Consulting | Bengaluru +9 other locations,613,5.1k,49,22,67,1
1735,Netmeds.com,3.8,(613),Pharma | Chennai +125 other locations,613,2.3k,49,--,31,11
1736,Okaya Power,3.7,(612),Electrical Equipment | New Delhi +88 other locations,612,2.2k,41,14,47,--
1737,Annalect,3.4,(612),Marketing & Advertising | Bengaluru +14 other locations,612,4.2k,82,--,18,4
1738,Kajaria Ceramics,3.9,(612),Building Material | New Delhi +83 other locations,612,2.1k,32,3,50,--
1739,Wissen Technology,3.8,(612),IT Services & Consulting | Bengaluru +9 other locations,612,5.1k,195,95,65,34
1740,Suma Soft,3.5,(612),IT Services & Consulting | Pune +11 other locations,612,3.2k,52,20,43,4
1741,Hitachi Systems Micro Clinic,4.0,(612),IT Services & Consulting | Mumbai +78 other locations,612,2.7k,32,--,70,--
1742,IDBI Intech Limited,3.2,(612),IT Services & Consulting | Mumbai +28 other locations,612,3k,54,228,46,4
1743,Maharashtra Seamless,3.5,(611),Building Material | Mumbai +25 other locations,611,2.2k,60,1,41,1
1744,Dr. Batras' Positive Health Clinic,3.8,(611),Healthcare | Mumbai +86 other locations,611,1.1k,23,12,33,22
1745,Aster Dm Healthcare,3.7,(611),Healthcare | Bengaluru +40 other locations,611,2.9k,55,126,34,2
1746,EaseMyTrip.com,4.1,(610),Internet | New Delhi +9 other locations,610,1.4k,68,69,216,5
1747,InsuranceDekho,3.5,(611),Internet | Gurugram +83 other locations,611,2.1k,81,22,7,3
1748,Central Reserve Police Force,4.6,(610),Government | New Delhi +95 other locations,610,1.3k,9,--,41,--
1749,Nucleus Software Exports,3.4,(610),Software Product | Noida +12 other locations,610,4.3k,47,31,74,2
1750,CSM Technologies,4.0,(610),IT Services & Consulting | Bhubaneswar +22 other locations,610,2.1k,34,30,22,20
1751,Sasken,3.6,(610),IT Services & Consulting | Bengaluru +12 other locations,610,4.2k,91,34,49,63
1752,ThoughtWorks,3.9,(610),IT Services & Consulting | Bengaluru +11 other locations,610,6.8k,172,16,49,15
1753,Gestamp,3.6,(609),Auto Components | Pune +14 other locations,609,2.1k,23,--,65,2
1754,Shriram Automall,4.0,(609),Internet | New Delhi +108 other locations,609,1.3k,47,--,114,--
1755,Hamilton Housewares,3.9,(609),Consumer Electronics & Appliances | Mumbai +54 other locations,609,2.6k,41,15,30,3
1756,Sintex Industries,3.9,(610),Industrial Machinery | Ahmedabad +59 other locations,610,2k,25,1,54,--
1757,Medcode,3.9,(608),IT Services & Consulting | Hyderabad +10 other locations,608,362,13,6,7,--
1758,SOLAR INDUSTRIES INDIA,3.6,(608),Defence & Aerospace | Nagpur +40 other locations,608,2.9k,70,12,44,8
1759,Sl Lumax,3.4,(607),Auto Components | Chennai +18 other locations,607,2.4k,31,1,88,--
1760,Becton Dickinson,4.0,(606),Medical Equipment | Bengaluru +38 other locations,606,3.4k,36,140,46,--
1761,IRB Infrastructure,3.9,(607),Engineering & Construction | Mumbai +71 other locations,607,1.4k,28,27,58,1
1762,Action Tesa,3.9,(607),Building Material | Sitarganj +61 other locations,607,1.3k,110,6,11,--
1763,HDFC Asset Management Company,4.1,(606),Financial Services | Mumbai +139 other locations,606,2.5k,45,--,26,--
1764,Ongc Petro Additions,4.0,(606),Petrochemicals | Bharuch +30 other locations,606,3.3k,35,--,76,--
1765,MothersonSumi INfotech & Designs,3.4,(606),IT Services & Consulting | Noida +18 other locations,606,3.6k,37,6,58,1
1766,Super Smelters,3.7,(606),Iron & Steel | Asansol +24 other locations,606,2.1k,42,3,44,--
1767,Serum Institute of India,4.1,(606),Biotechnology | Pune +26 other locations,606,3.2k,41,--,57,1
1768,Mavenir Systems,3.3,(605),IT Services & Consulting | Bengaluru +19 other locations,605,3.6k,62,11,47,7
1769,Fiem Industries,3.6,(605),Auto Components | Hosur +29 other locations,605,2.6k,28,--,52,--
1770,Vedanta Limited,3.8,(605),Metals & Mining | Lanjigarh +53 other locations,605,2.7k,56,19,47,--
1771,Finastra,3.7,(605),Software Product | Bengaluru +13 other locations,605,4.5k,59,44,71,14
1772,Holiday Inn,4.0,(604),Hospitality | New Delhi +61 other locations,604,1.4k,16,--,73,--
1773,Royal Caribbean International,4.2,(604),Sports & Recreation | Mumbai +25 other locations,604,727,32,1,65,2
1774,Dhani Services,3.7,(603),Mumbai +80 other locations,603,1.2k,22,--,5,--
1775,Einfochips,3.5,(603),IT Services & Consulting | Ahmedabad +13 other locations,603,3.8k,76,142,52,--
1776,Schwing Stetter,3.9,(603),Industrial Machinery | Chennai +44 other locations,603,2.5k,45,127,49,--
1777,Carnival Cruise Lines,4.2,(603),Sports & Recreation | Mumbai +31 other locations,603,691,23,--,77,4
1778,Sapiens,3.1,(604),Software Product | Bengaluru +8 other locations,604,5.3k,67,1,65,--
1779,Family Health Plan,3.7,(602),Insurance | Hyderabad +36 other locations,602,2k,45,4,34,--
1780,Agrostar,4.0,(602),Internet | Pune +51 other locations,602,1.5k,64,8,66,1
1781,Cyfuture,3.0,(602),IT Services & Consulting | Noida +37 other locations,602,2.7k,108,35,73,--
1782,Belstar Microfinance,4.0,(602),NBFC | Chennai +218 other locations,602,1.5k,41,--,9,4
1783,Godrej Industries,4.0,(601),Real Estate | Mumbai +68 other locations,601,2.8k,57,181,63,--
1784,ITC Limited Foods Division,3.9,(601),Food Processing | Bengaluru +75 other locations,601,2k,73,--,67,--
1785,ShareChat,3.6,(601),Internet | Bengaluru +42 other locations,601,2.6k,86,7,43,18
1786,Grab A Grub Services,3.9,(601),Logistics | Mumbai +113 other locations,601,1.8k,35,--,30,4
1787,Royaloak Incorporation,3.7,(601),Furniture & Furnishing | Bengaluru +47 other locations,601,1.5k,39,22,13,3
1788,BT E Serv,3.9,(600),BPO | Kolkata +6 other locations,600,2.6k,54,--,132,--
1789,Polaris Consulting,4.1,(600),IT Services & Consulting | Hyderabad +18 other locations,600,2.8k,33,--,87,--
1790,Jain Irrigation Systems,3.7,(600),Agriculture | Jalgaon +88 other locations,600,1.9k,31,--,50,1
1791,BMC Software,4.0,(599),Software Product | Pune +10 other locations,599,3.8k,52,133,79,20
1792,Renovision Automation Services,3.3,(599),IT Services & Consulting | New Delhi +70 other locations,599,1.8k,24,15,41,--
1793,Cashify,3.8,(599),Internet | Gurugram +58 other locations,599,2.6k,50,6,35,7
1794,Kirloskar Ferrous Industries,3.6,(599),Iron & Steel | Koppal +22 other locations,599,2.1k,31,2,31,--
1795,Columbia Asia,4.6,(598),Healthcare | Bengaluru +19 other locations,598,1.4k,19,--,99,--
1796,Sanghi Industries,4.0,(598),Building Material | Ahmedabad +31 other locations,598,2.2k,77,--,71,3
1797,Sudarshan Chemical Industries,3.9,(598),Chemicals | Roha +26 other locations,598,2.7k,33,--,47,4
1798,Motilal Oswal Wealth Management,4.4,(601),Financial Services | Mumbai +25 other locations,601,394,41,12,18,--
1799,Rocket India,4.0,(596),Financial Services | Chennai +11 other locations,596,3.5k,112,17,33,--
1800,Nspira Management Services,3.7,(596),BPO | Hyderabad +59 other locations,596,2.5k,37,30,23,1
1801,Blackrock,3.5,(596),Financial Services | Gurugram +18 other locations,596,7k,119,--,62,--
1802,Jubilant Agri and Consumer Products,3.9,(595),Chemicals | Gurugram +114 other locations,595,1.9k,37,--,29,--
1803,Ugam Solution,3.6,(595),IT Services & Consulting | Mumbai +14 other locations,595,3.5k,51,12,96,1
1804,VDA Infosolutions,3.8,(594),IT Services & Consulting | Pune +34 other locations,594,1.9k,55,1,25,12
1805,Jayaswal Neco Industries,4.1,(594),Iron & Steel | Raipur +30 other locations,594,2k,36,--,47,4
1806,Toyoda Gosei Minda,4.2,(594),Auto Components | Neemrana +25 other locations,594,1.8k,32,--,52,2
1807,CSG International,3.5,(594),IT Services & Consulting | Bengaluru +13 other locations,594,4.1k,59,--,46,8
1808,Mrs Bector's Food Specialities,3.9,(594),Food Processing | Greater Noida +86 other locations,594,1.8k,30,3,33,1
1809,Bridge & Roof Co,3.4,(592),Engineering & Construction | Kolkata +64 other locations,592,2.6k,27,--,102,--
1810,IKEA,4.0,(592),Retail | Bengaluru +24 other locations,592,2.1k,50,1,55,1
1811,DHL Global Forwarding,4.0,(592),Logistics | Chennai +21 other locations,592,3.1k,39,8,74,1
1812,Blackberrys,3.7,(592),Fashion & Textile | Gurugram +92 other locations,592,1.8k,33,16,49,11
1813,Finolex Industries,3.6,(599),Building Material | Pune +72 other locations,599,2.3k,47,--,22,--
1814,Myk Laticrete,3.9,(590),Building Material | Hyderabad +86 other locations,590,2.1k,25,15,27,1
1815,DealShare,3.6,(590),Internet | Bengaluru +44 other locations,590,2.5k,42,--,35,4
1816,United Colors of Benetton,4.3,(589),Fashion & Textile | Gurugram +74 other locations,589,1.3k,23,1,68,8
1817,Heidelberg Cement,4.1,(589),Building Material | Damoh +79 other locations,589,1.9k,35,1,40,1
1818,Hpl Electric & Power,3.7,(589),Electrical Equipment | Gurugram +69 other locations,589,2.2k,69,8,23,--
1819,Kellogg,4.2,(588),FMCG | Mumbai +85 other locations,588,2.2k,31,--,74,--
1820,Vedang Cellular Services,3.8,(588),Telecom | Mumbai +68 other locations,588,1.7k,30,--,35,4
1821,Inspira Enterprise India Limited,3.6,(588),IT Services & Consulting | Mumbai +36 other locations,588,3.5k,51,6,39,11
1822,SIS Prosegur Holdings,3.4,(588),Law Enforcement & Security | New Delhi +92 other locations,588,1.5k,19,6,44,6
1823,Bharat Biotech International,3.1,(587),Biotechnology | Hyderabad +29 other locations,587,2.2k,62,13,37,1
1824,Medley Pharmaceuticals,3.9,(587),Pharma | Mumbai +75 other locations,587,1.8k,38,17,41,--
1825,Pathkind Diagnostics Private Limited,4.0,(587),Healthcare | New Delhi +97 other locations,587,1.8k,54,12,48,1
1826,Saudi Aramco,4.5,(586),Oil & Gas | Mumbai +38 other locations,586,1.4k,61,--,80,--
1827,AVTEC,3.5,(586),Auto Components | Hosur +26 other locations,586,2.1k,26,10,56,1
1828,HLL Lifecare,3.7,(586),Healthcare | Thiruvananthapuram +115 other locations,586,1.7k,44,11,40,3
1829,Excitel Broadband,3.6,(586),Telecom | New Delhi +43 other locations,586,1.9k,57,3,28,1
1830,Vadilal Industries,4.1,(586),FMCG | Ahmedabad +84 other locations,586,1.8k,36,20,64,--
1831,Ofbusiness,3.0,(585),Internet | Gurugram +41 other locations,585,2.6k,50,71,19,7
1832,Maxicus,4.0,(584),BPO | Vadodara +15 other locations,584,695,135,7,76,5
1833,Coal India,4.0,(584),Metals & Mining | Kolkata +62 other locations,584,1.9k,52,--,68,3
1834,IDP Education Limited,3.6,(584),Education & Training | Chennai +50 other locations,584,2.5k,68,15,49,--
1835,Anmol Industries,3.9,(583),FMCG | Kolkata +87 other locations,583,1.8k,64,--,48,21
1836,Avaada Group,4.2,(583),Power | Noida +66 other locations,583,2.2k,57,210,34,7
1837,Kiya.ai,3.8,(583),IT Services & Consulting | Mumbai +18 other locations,583,4.2k,51,235,27,--
1838,Consulting Engineers Group,4.1,(583),Engineering & Construction | Jaipur +70 other locations,583,1.7k,47,4,37,--
1839,Sterling Oil Exploration & Energy Production,3.5,(582),Oil & Gas | Lagos +22 other locations,582,1.3k,69,--,27,3
1840,Eli Lilly and Company,3.4,(582),Pharma | Bengaluru +18 other locations,582,4.6k,81,66,62,--
1841,Varindera Constructions,4.4,(582),Engineering & Construction | New Delhi +26 other locations,582,1.3k,49,7,25,12
1842,Affinity Express,2.8,(581),Marketing & Advertising | Pune +12 other locations,581,2.5k,38,4,41,2
1843,EdgeVerve Systems,3.3,(581),Software Product | Bengaluru +15 other locations,581,4.1k,67,59,69,--
1844,APL Apollo Tubes,4.0,(581),Iron & Steel | Raipur +47 other locations,581,1.9k,50,5,21,--
1845,Ascent HR Technologies Private Limited,3.7,(580),Software Product | Bengaluru +15 other locations,580,1.8k,44,14,19,4
1846,Accion Labs,3.5,(580),IT Services & Consulting | Bengaluru +13 other locations,580,4.7k,82,42,43,11
1847,Efs Facilities Services,3.7,(580),Facility Management Services | New Delhi +59 other locations,580,1.4k,34,14,57,--
1848,Jubilant Generics,4.0,(579),Pharma | Roorkee +24 other locations,579,2.3k,20,--,69,--
1849,Infinity Learn,4.2,(579),EdTech | Hyderabad +18 other locations,579,1.9k,102,69,6,4
1850,BEML,3.8,(579),Industrial Machinery | Bengaluru +36 other locations,579,1.7k,29,--,59,6
1851,Pamac Finserve,3.2,(578),BPO | Mumbai +59 other locations,578,1.6k,31,2,25,--
1852,Quest Retail Private Limited,4.1,(578),Retail | Gurugram +64 other locations,578,942,15,1,244,61
1853,Hettich,3.7,(578),Furniture & Furnishing | Mumbai +45 other locations,578,2.4k,43,12,37,1
1854,Hilton,4.1,(578),Hospitality | Bengaluru +40 other locations,578,1.5k,27,299,67,8
1855,Micromax Informatics,3.9,(577),Consumer Electronics & Appliances | New Delhi +119 other locations,577,1.3k,22,--,95,--
1856,Capital Numbers Infotech,4.2,(577),IT Services & Consulting | Kolkata +9 other locations,577,1.2k,46,20,86,131
1857,NLC India Limited,4.4,(578),Metals & Mining | Neyveli +26 other locations,578,1.2k,29,--,23,18
1858,PTC,4.2,(576),Software Product | Pune +40 other locations,576,4k,69,125,56,1
1859,Vyapar,3.6,(576),Software Product | Bengaluru +39 other locations,576,2.2k,75,128,37,5
1860,PTC,4.2,(576),Software Product | Pune +40 other locations,576,4k,69,125,56,1
1861,Lulu International Shopping Mall,3.7,(575),Retail | Lucknow +41 other locations,575,2.5k,42,--,20,1
1862,Wood Group,3.8,(575),Engineering & Construction | Chennai +29 other locations,575,2.7k,67,49,25,1
1863,Cvent,3.2,(575),Software Product | Gurugram +9 other locations,575,4.6k,102,128,55,6
1864,GAMMON INDIA,3.7,(575),Engineering & Construction | Mumbai +71 other locations,575,1.1k,31,--,75,--
1865,Dr. Reddy's Foundation,3.7,(574),Non-Profit | Hyderabad +88 other locations,574,1.7k,54,23,75,--
1866,Gandhi Automations,4.0,(574),Industrial Machinery | Mumbai +24 other locations,574,1.3k,40,30,101,28
1867,Jindal Poly Films,3.6,(574),Packaging | Nashik +19 other locations,574,2.4k,39,2,52,--
1868,Orra Fine Jewellery,3.5,(574),Jewellery | Mumbai +51 other locations,574,1.7k,48,40,27,24
1869,PureSoftware,2.9,(574),Software Product | Noida +11 other locations,574,3.7k,67,39,36,87
1870,The Saraswat Co-operative Bank,3.2,(573),Banking | Mumbai +34 other locations,573,3k,26,5,25,--
1871,Perficient,3.8,(573),IT Services & Consulting | Chennai +11 other locations,573,4.4k,47,18,31,4
1872,Apitoria Pharma,4.2,(573),Pharma | Hyderabad +12 other locations,573,767,39,10,18,--
1873,Maharashtra State Electricity Distribution Company,4.2,(572),Power | Pune +91 other locations,572,1.2k,24,--,42,3
1874,Axiscades,3.1,(572),IT Services & Consulting | Bengaluru +12 other locations,572,3.7k,62,11,31,--
1875,Army Public School,4.0,(572),Education & Training | New Delhi +96 other locations,572,1.2k,41,--,54,4
1876,HashedIn by Deloitte,4.0,(571),IT Services & Consulting | Bengaluru +16 other locations,571,5.5k,140,5,44,6
1877,AVIOM,4.0,(571),NBFC | New Delhi +188 other locations,571,1.2k,31,1,14,4
1878,AVEVA,4.0,(571),Software Product | Hyderabad +14 other locations,571,1.8k,30,45,306,5
1879,PayU Payments,3.3,(571),FinTech | Gurugram +22 other locations,571,4.2k,67,126,49,--
1880,Crystal Crop Protection,3.9,(570),Agro Chemicals | New Delhi +89 other locations,570,1.8k,24,--,43,--
1881,HBL Power Systems,4.0,(570),Electrical Equipment | Hyderabad +49 other locations,570,2.1k,33,14,53,--
1882,WayCool Foods and Products,3.4,(569),FMCG | Chennai +42 other locations,569,2.9k,42,--,34,10
1883,Jaipur Rugs,4.3,(569),Fashion & Textile | Jaipur +20 other locations,569,846,64,14,19,17
1884,Aurionpro Solutions,3.4,(568),Software Product | Mumbai +49 other locations,568,3.5k,37,19,31,1
1885,TSYS|Total System Services,4.1,(568),FinTech | Pune +10 other locations,568,4.2k,68,28,10,--
1886,Fenesta Building Systems,4.0,(568),Building Material | Gurugram +74 other locations,568,1.9k,39,19,41,4
1887,Amway India Enterprises,4.1,(568),Fitness & Wellness | Gurugram +80 other locations,568,2.1k,18,5,84,1
1888,Damco Solutions,3.5,(568),IT Services & Consulting | Noida +22 other locations,568,2.2k,44,32,21,14
1889,Country Delight,3.8,(568),Food Processing | Gurugram +35 other locations,568,2.4k,42,2,11,5
1890,Applied Materials,3.7,(567),Semiconductors | Bengaluru +11 other locations,567,4.7k,87,133,59,4
1891,J K Fenner,3.9,(567),Engineering & Construction | Chennai +56 other locations,567,2k,34,6,46,--
1892,Alcon,3.8,(566),Medical Equipment | Bengaluru +38 other locations,566,2.9k,44,44,44,--
1893,Dishman Carbogen Amcis,3.6,(566),Pharma | Ahmedabad +15 other locations,566,2.1k,36,43,28,--
1894,Expleo Group,3.4,(566),IT Services & Consulting | Pune +9 other locations,566,5.5k,48,39,22,6
1895,Maxop Engineering Co.,4.1,(567),Auto Components | Gurugram +15 other locations,567,2.3k,47,9,30,--
1896,Pinnacle Infotech,3.4,(565),IT Services & Consulting | Durgapur +19 other locations,565,2.8k,61,4,56,19
1897,SoftAge Information Technology,3.6,(565),IT Services & Consulting | Gurugram +126 other locations,565,889,22,5,66,47
1898,FNP,3.7,(565),Retail | New Delhi +19 other locations,565,2.3k,65,14,24,43
1899,McCain Foods,4.1,(565),FMCG | Mahesana +74 other locations,565,1.6k,37,4,47,2
1900,Transport Corporation Of India,3.8,(564),Logistics | Gurugram +81 other locations,564,1.8k,38,--,60,2
1901,Allianz Services,4.1,(564),Insurance | Thiruvananthapuram +13 other locations,564,2.4k,33,13,48,37
1902,Prochant,3.9,(563),Analytics & KPO | Chennai +9 other locations,563,2.3k,68,37,33,16
1903,Baker Hughes,4.1,(563),Oil & Gas | Bengaluru +38 other locations,563,4.1k,65,72,58,--
1904,Iron Mountain Inc,3.8,(563),IT Services & Consulting | Bengaluru +49 other locations,563,3k,30,87,48,--
1905,Levi Strauss & Co.,4.2,(562),Fashion & Textile | Bengaluru +80 other locations,562,2k,31,22,65,2
1906,Empower,4.0,(562),Financial Services | Bengaluru +12 other locations,562,4k,59,102,39,10
1907,C5i,4.2,(562),Analytics & KPO | Bengaluru +16 other locations,562,2.8k,54,18,33,15
1908,Kauvery Hospital,4.0,(562),Healthcare | Chennai +21 other locations,562,2.1k,37,2,19,10
1909,HUDL,3.2,(561),Software Product | Mumbai +17 other locations,561,1.9k,62,--,30,1
1910,Wow Momo Foods,3.6,(560),Hospitality | Kolkata +53 other locations,560,1.8k,46,2,20,--
1911,Toyota Industries Engine India,4.3,(559),Auto Components | Bengaluru +15 other locations,559,1.5k,31,--,67,1
1912,Paras Dairy,3.5,(559),Food Processing | New Delhi +59 other locations,559,1.6k,30,3,50,2
1913,United Spirits,4.1,(559),Beverage | Bengaluru +95 other locations,559,1.5k,14,2,70,--
1914,Lear Corporation,4.0,(559),Auto Components | Pune +19 other locations,559,2.9k,25,6,66,--
1915,Voyants Solutions,3.8,(559),Engineering & Construction | Gurugram +94 other locations,559,1.7k,57,115,29,--
1916,Andritz Hydro Location India,3.8,(559),Chennai +28 other locations,559,2.7k,34,22,42,3
1917,Toothsi,2.7,(558),Internet | Mumbai +20 other locations,558,2.2k,66,--,21,--
1918,Matrimonialsindia,4.9,(559),Internet | New Delhi,559,117,13,2,6,56
1919,Herbalife International,4.1,(559),Healthcare | Bengaluru +85 other locations,559,2.6k,30,9,47,5
1920,BAXY,4.0,(573),Auto Components | Bhiwadi +38 other locations,573,2k,28,--,47,--
1921,ArcelorMittal,4.1,(557),Iron & Steel | Surat +49 other locations,557,2.9k,42,9,23,3
1922,UTL Solar,3.6,(557),Electronics Manufacturing | New Delhi +78 other locations,557,1.7k,59,80,27,3
1923,DB Schenker,4.3,(557),Logistics | Gurugram +40 other locations,557,2.2k,23,--,48,3
1924,Genesys International Corporation,3.4,(556),IT Services & Consulting | Mumbai +15 other locations,556,2.5k,21,1,51,2
1925,Paramount Health Services Tpa,3.8,(556),Insurance | Mumbai +40 other locations,556,2.3k,35,21,37,--
1926,Solara Active Pharma Sciences,3.7,(556),Pharma | Chennai +19 other locations,556,2.8k,44,--,55,--
1927,"DATAMARK, Inc.",3.5,(555),BPO | Chennai +13 other locations,555,1.7k,32,39,46,--
1928,Congruex Asia Pacific,3.7,(555),Engineering & Construction | Sahibzada Ajit Singh Nagar +24 other locations,555,2.2k,67,3,38,5
1929,QSpiders,3.7,(555),Education & Training | Bengaluru +26 other locations,555,1.8k,97,--,19,2
1930,Courtyard by Marriott,4.2,(554),Hospitality | Mumbai +41 other locations,554,1.1k,25,--,84,--
1931,Renault,4.1,(554),Automobile | Chennai +149 other locations,554,1.8k,32,--,47,7
1932,BUSINESSNEXT,3.5,(554),Software Product | Noida +9 other locations,554,3.8k,76,20,22,13
1933,MITS Global Consulting,4.5,(554),Recruitment | Mumbai +12 other locations,554,888,42,--,104,--
1934,Laxmi Organic Industries,3.9,(553),Chemicals | Mahad +19 other locations,553,2k,43,5,46,3
1935,Mahendra NextWealth IT,3.4,(553),IT Services & Consulting | Salem +26 other locations,553,1.8k,26,6,17,2
1936,Artemis Hospitals,4.2,(553),Healthcare | Gurugram +20 other locations,553,1.5k,19,22,50,1
1937,Z X Learning,4.3,(553),EdTech | Lucknow +89 other locations,553,358,44,--,177,--
1938,Sandoz,4.0,(552),Pharma | Hyderabad +20 other locations,552,2.4k,26,18,46,2
1939,Prestige Group,4.3,(552),Real Estate | Bengaluru +30 other locations,552,2.5k,47,9,52,1
1940,Ambit Finvest,4.0,(552),NBFC | Mumbai +112 other locations,552,1.8k,28,--,14,1
1941,Innominds Software,3.2,(551),IT Services & Consulting | Hyderabad +7 other locations,551,4.7k,48,40,31,6
1942,Bajaj Consumer Care,3.8,(551),FMCG | Mumbai +111 other locations,551,1.4k,33,5,43,3
1943,The Times of India,3.7,(551),Media & Entertainment | New Delhi +53 other locations,551,2.8k,45,--,53,3
1944,Practo,3.0,(551),Internet | Bengaluru +24 other locations,551,3k,81,36,63,7
1945,Western Refrigeration,3.8,(551),Industrial Machinery | Vapi +40 other locations,551,2.3k,41,9,37,5
1946,Harman Finochem,3.6,(551),Pharma | Chhatrapati Sambhajinagar +15 other locations,551,2.8k,43,--,32,5
1947,FiveS Digital,3.4,(550),BPO | Jamshedpur +27 other locations,550,1.5k,57,19,5,4
1948,Unimoni,3.9,(550),FinTech | Chennai +134 other locations,550,2k,18,6,26,--
1949,Kirloskar Pneumatic,4.1,(550),Industrial Machinery | Pune +22 other locations,550,2.6k,37,1,42,--
1950,General Motors,4.0,(550),Automobile | Pune +36 other locations,550,2.1k,34,5,86,8
1951,Navin Fluorine International,3.8,(549),Chemicals | Surat +17 other locations,549,2.6k,29,2,44,--
1952,Titan Engineering & Automation,3.8,(549),Engineering & Construction | Hosur +18 other locations,549,2.7k,36,6,35,1
1953,SAEL Industries Limited,4.0,(548),Power | New Delhi +63 other locations,548,1.9k,47,39,25,--
1954,Marelli,3.5,(548),Auto Components | Gurugram +18 other locations,548,2.8k,44,--,68,13
1955,Bharat Fritz Werner,3.9,(548),Industrial Machinery | Bengaluru +18 other locations,548,2.4k,33,10,47,1
1956,Inox Wind,3.8,(547),Power | Noida +41 other locations,547,1.7k,49,--,69,1
1957,Carlsberg,4.0,(547),Beverage | Gurugram +66 other locations,547,1.8k,37,10,57,--
1958,Datamatics Business Solutions,3.4,(547),Management Consulting | Mumbai +13 other locations,547,2.5k,46,17,29,1
1959,MR.DIY,3.4,(547),Retail | Mumbai +85 other locations,547,1.4k,48,5,9,--
1960,Enco Engineers Combine,3.7,(546),Auto Components | Gurugram +17 other locations,546,1.5k,36,--,39,--
1961,GSPANN Technologies,4.1,(545),IT Services & Consulting | Hyderabad +9 other locations,545,3.5k,48,64,32,15
1962,BLK Super Speciality Hospital,3.9,(545),Healthcare | New Delhi +16 other locations,545,1.5k,34,--,38,--
1963,L & W Constructions,3.9,(545),Engineering & Construction | Bengaluru +19 other locations,545,1.8k,27,3,42,--
1964,Anudip Foundation,3.7,(544),Non-Profit | Kolkata +62 other locations,544,1.3k,159,21,37,--
1965,Virtual Employee,3.3,(544),Recruitment | Noida +22 other locations,544,3.1k,51,1,52,5
1966,Kellogg Brown and Root,4.1,(544),Engineering & Construction | Chennai +36 other locations,544,2.3k,41,90,50,1
1967,Propertypistol Realty,3.7,(544),Internet | Mumbai +25 other locations,544,2k,77,31,17,--
1968,LendingKart,3.6,(544),NBFC | Ahmedabad +46 other locations,544,2.6k,39,12,22,1
1969,Craftsman Automation,3.8,(544),Auto Components | Coimbatore +25 other locations,544,2.4k,24,--,58,--
1970,Offshore Infrastructures,4.2,(543),Engineering & Construction | Mumbai +51 other locations,543,1.7k,25,--,60,1
1971,WPP Media,3.6,(542),Marketing & Advertising | Gurugram +27 other locations,542,3.9k,43,2,35,--
1972,Gayatri Projects,3.9,(542),Engineering & Construction | Hyderabad +71 other locations,542,1.8k,40,12,78,--
1973,Utility Powertech,3.8,(542),Power | New Delhi +92 other locations,542,1.7k,30,--,36,2
1974,Yokohama,3.7,(541),Auto Components | Bahadurgarh +44 other locations,541,2.1k,27,--,60,--
1975,Eicher Motors,4.0,(541),Automobile | Indore +96 other locations,541,1.6k,42,--,43,1
1976,Maini Precision Products,3.4,(541),Auto Components | Bengaluru +11 other locations,541,2.8k,40,6,39,--
1977,Hi Tech Gears,3.9,(541),Auto Components | Bhiwadi +29 other locations,541,2.1k,31,--,63,--
1978,Roop Polymers,3.9,(540),Auto Components | Gurugram +25 other locations,540,1.8k,30,--,41,--
1979,Dhani Healthcare,3.5,(540),FinTech | Gurugram +81 other locations,540,2.3k,59,--,55,--
1980,RAK Ceramics,3.8,(540),Building Material | Mumbai +61 other locations,540,1.7k,32,--,48,8
1981,Bharti Infratel,4.7,(539),Telecom | Gurugram +69 other locations,539,1.1k,6,--,73,3
1982,Sulzer,3.9,(539),Industrial Machinery | Pune +25 other locations,539,2.7k,35,10,60,--
1983,RuralShores,3.7,(539),BPO | Bengaluru +47 other locations,539,1.1k,23,6,61,1
1984,Macawber Beekay,4.2,(539),Industrial Machinery | Noida +57 other locations,539,1.7k,24,13,62,2
1985,Unified Mentor,4.2,(538),IT Services & Consulting | Bengaluru +44 other locations,538,390,125,--,11,--
1986,Fena,4.0,(538),FMCG | New Delhi +85 other locations,538,1.5k,31,16,43,7
1987,AM Infoweb,3.8,(538),BPO | Pune +8 other locations,538,1.4k,87,24,47,13
1988,RadiSys,3.8,(537),Telecom | Bengaluru +11 other locations,537,2.5k,51,--,54,--
1989,Allianz Partners,3.7,(537),Insurance | Gurugram +19 other locations,537,2.6k,39,--,31,--
1990,Tracxn,2.7,(537),Internet | Bengaluru +11 other locations,537,2.3k,113,94,36,--
1991,Sanmina Sci,4.1,(537),Electronics Manufacturing | Chennai +16 other locations,537,2.7k,33,22,47,--
1992,Vestige,4.3,(536),Fitness & Wellness | New Delhi +110 other locations,536,1.4k,40,--,80,3
1993,Cpf India,4.1,(536),Food Processing | Bengaluru +59 other locations,536,1.6k,25,1,60,6
1994,Maxgen Technologies,4.5,(536),IT Services & Consulting | Pune +8 other locations,536,1.1k,14,--,114,1
1995,RMC Readymix,3.6,(535),Building Material | Mumbai +67 other locations,535,1.4k,42,5,54,1
